tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
-1.00;;-1.00;-1.00;18634.00;0.40;628782529#0_0;5.10;0.00;tripinfo_10352 routing_10352;24566.00;10352;1;1107.93;1.00;0.00;24448.55;DEFAULT_VEHTYPE;end;97;23620.00
-1.00;;-1.00;-1.00;18645.00;0.60;628782529#0_0;5.10;0.00;tripinfo_10358 routing_10358;24555.00;10358;1;2112.77;0.95;0.00;24277.82;DEFAULT_VEHTYPE;end;110;23419.00
-1.00;;-1.00;-1.00;27669.00;9006.60;839709051_0;5.10;0.00;tripinfo_10368 routing_10368;15531.00;10368;2;383.25;0.98;0.00;15501.96;DEFAULT_VEHTYPE;end;79;14684.00
-1.00;;-1.00;-1.00;23844.00;5167.20;-96016135_0;2.26;0.00;tripinfo_10376 routing_10376;19356.00;10376;2;2981.92;1.10;0.00;18547.86;DEFAULT_VEHTYPE;end;70;17937.00
-1.00;;-1.00;-1.00;18679.00;0.40;-40493501#2_0;5.10;0.00;tripinfo_10377 routing_10377;24521.00;10377;1;2641.29;1.33;0.00;23943.67;DEFAULT_VEHTYPE;end;106;23181.00
-1.00;;-1.00;-1.00;24149.00;5461.40;-96016135_0;2.26;0.00;tripinfo_10382 routing_10382;19051.00;10382;2;2080.93;1.07;0.00;18372.66;DEFAULT_VEHTYPE;end;74;17765.00
-1.00;;-1.00;-1.00;19784.00;1089.20;14858868_0;5.10;0.00;tripinfo_10386 routing_10386;23416.00;10386;2;3144.23;1.09;0.00;22825.56;DEFAULT_VEHTYPE;end;100;22036.00
-1.00;;-1.00;-1.00;24228.00;5529.60;-96016135_0;2.26;0.00;tripinfo_10388 routing_10388;18972.00;10388;2;1673.72;1.06;0.00;17978.04;DEFAULT_VEHTYPE;end;71;17475.00
-1.00;;-1.00;-1.00;18704.00;0.20;31411842_0;5.10;0.00;tripinfo_10391 routing_10391;24496.00;10391;1;2515.18;0.95;0.00;23997.64;DEFAULT_VEHTYPE;end;94;23389.00
-1.00;;-1.00;-1.00;18719.00;0.80;-17073048#1_0;5.10;0.00;tripinfo_10399 routing_10399;24481.00;10399;1;1975.20;1.22;0.00;23995.85;DEFAULT_VEHTYPE;end;115;23391.00
