interval_begin;interval_end;interval_id;edge_arrived;edge_density;edge_departed;edge_entered;edge_id;edge_laneChangedFrom;edge_laneChangedTo;edge_laneDensity;edge_left;edge_occupancy;edge_overlapTraveltime;edge_sampledSeconds;edge_speed;edge_speedRelative;edge_timeLoss;edge_traveltime;edge_waitingTime
21600.00;25200.00;21600_to_25200;2;4.25;2;60;-5450858#1;0;0;4.25;60;2.06;28.14;1740.94;4.22;0.51;830.49;27.04;557.00
21600.00;25200.00;21600_to_25200;0;2.51;3;58;-628755543;0;0;2.51;61;1.14;7.08;429.66;7.43;0.89;51.64;6.38;6.00
21600.00;25200.00;21600_to_25200;4;3.24;2;56;-628755544#4;0;0;3.24;54;1.57;27.96;1619.74;5.15;0.62;645.43;26.81;371.00
21600.00;25200.00;21600_to_25200;0;2.71;3;47;-628755546#4;0;0;2.71;51;1.23;8.33;421.06;5.78;0.69;132.50;7.40;33.00
21600.00;25200.00;21600_to_25200;3;1.58;0;41;-628755547#5;0;0;1.58;37;0.77;32.07;1295.73;7.26;0.87;188.34;31.20;14.00
21600.00;25200.00;21600_to_25200;4;2.09;0;55;-628757206#2;0;0;2.09;51;1.00;14.57;800.87;7.64;0.92;77.36;13.92;0.00
21600.00;25200.00;21600_to_25200;6;5.74;1;74;-70724345;0;0;5.74;69;2.76;22.65;1695.28;3.85;0.46;898.90;21.48;598.00
21600.00;25200.00;21600_to_25200;2;3.49;1;66;-781742860#0;0;0;3.49;65;1.68;22.14;1482.74;5.55;0.67;480.48;21.03;232.00
21600.00;25200.00;21600_to_25200;3;3.54;1;69;-781742860#1;0;0;3.54;65;1.62;8.42;572.96;5.93;0.71;158.98;7.53;53.00
21600.00;25200.00;21600_to_25200;2;4.33;5;71;-781742860#3;0;0;4.33;75;1.93;8.18;616.92;5.45;0.65;206.58;7.28;64.00
21600.00;25200.00;21600_to_25200;1;3.09;1;71;-781742860#4;0;0;3.09;71;1.48;18.79;1351.69;6.72;0.81;246.61;17.86;56.00
21600.00;25200.00;21600_to_25200;1;0.67;3;12;-832487280;0;0;0.67;14;0.31;8.67;127.14;6.61;0.79;23.38;7.77;3.00
21600.00;25200.00;21600_to_25200;2;2.12;0;55;-832629331#0;0;0;2.12;53;1.02;16.68;916.48;7.49;0.90;78.19;15.95;0.00
21600.00;25200.00;21600_to_25200;2;2.84;0;49;-8382447#0;0;0;2.84;47;0.93;1.96;95.36;7.30;0.88;9.53;1.28;0.00
21600.00;25200.00;21600_to_25200;5;2.70;3;64;-8382447#3;0;0;2.70;61;1.29;14.24;939.90;7.15;0.86;107.07;13.53;0.00
21600.00;25200.00;21600_to_25200;1;0.20;3;2;-8384914;0;0;0.20;4;0.10;11.53;54.93;7.12;0.86;9.29;10.88;0.00
21600.00;25200.00;21600_to_25200;3;2.60;2;63;-875772621#0;0;0;2.60;63;1.27;37.12;2427.83;7.13;0.86;291.83;36.25;0.00
21600.00;25200.00;21600_to_25200;3;1.95;1;45;-900443644#2;0;0;1.95;42;0.82;4.05;182.77;7.66;0.92;17.49;3.41;0.00
21600.00;25200.00;21600_to_25200;0;17.93;80;0;-96016135;0;0;17.93;80;3.41;2.65;145.91;2.74;0.49;86.52;;0.00
21600.00;25200.00;21600_to_25200;1;3.76;4;79;1024105863;0;0;3.76;82;1.57;4.31;354.12;7.23;0.87;45.07;3.64;0.00
21600.00;25200.00;21600_to_25200;2;0.69;0;18;1041085657;0;0;0.69;16;0.33;16.50;295.96;7.56;0.91;24.06;15.84;0.00
21600.00;25200.00;21600_to_25200;86;3.25;0;85;1053478472#3;0;0;3.25;0;1.59;24.66;2100.75;7.48;0.90;206.52;24.02;0.00
21600.00;25200.00;21600_to_25200;0;0.11;2;1;107118812;0;0;0.11;3;0.06;16.11;46.94;7.40;0.89;7.88;15.29;0.00
21600.00;25200.00;21600_to_25200;4;3.14;2;139;1091652283;34;34;1.57;137;0.76;11.95;1683.06;12.89;0.93;96.02;11.56;0.00
21600.00;25200.00;21600_to_25200;1;34.78;1;282;1091652430;20;20;11.59;281;5.49;16.44;4632.90;2.56;0.18;3733.73;14.90;2480.00
21600.00;25200.00;21600_to_25200;3;2.99;2;119;109398805;0;0;2.99;119;1.45;18.21;2205.01;11.51;0.83;342.75;17.54;28.00
21600.00;25200.00;21600_to_25200;1;0.20;1;4;1106583870;0;0;0.20;4;0.09;12.68;62.71;7.30;0.88;6.25;11.86;0.00
21600.00;25200.00;21600_to_25200;2;0.33;2;6;1111106315;0;0;0.33;6;0.15;11.12;86.81;7.06;0.85;12.26;10.26;0.00
21600.00;25200.00;21600_to_25200;1;0.29;4;3;1111110395;0;0;0.29;6;0.14;14.27;96.28;6.89;0.83;15.80;13.59;0.00
21600.00;25200.00;21600_to_25200;2;2.19;4;26;111691945;0;0;2.19;28;0.89;4.72;135.66;4.69;0.84;29.14;3.81;0.00
21600.00;25200.00;21600_to_25200;3;0.57;1;13;1150906866;0;0;0.57;11;0.27;13.92;193.51;7.19;0.86;22.80;13.21;0.00
21600.00;25200.00;21600_to_25200;1;5.41;2;119;1156329248;0;0;5.41;120;2.37;6.14;740.70;7.02;0.84;96.05;5.29;3.00
21600.00;25200.00;21600_to_25200;1;2.69;1;64;1156337042;0;0;2.69;64;1.28;13.87;900.92;7.07;0.85;100.96;13.17;0.00
21600.00;25200.00;21600_to_25200;1;2.70;3;65;1168195444;22;22;1.35;68;0.64;12.18;832.74;7.45;0.89;77.34;11.52;0.00
21600.00;25200.00;21600_to_25200;103;4.24;0;102;117055114#0;0;0;4.24;0;1.94;6.55;650.45;7.26;0.87;66.80;5.88;0.00
21600.00;25200.00;21600_to_25200;3;133.33;2;176;117055115;0;0;133.33;175;3.53;0.74;129.42;6.93;0.83;18.37;0.01;0.00
21600.00;25200.00;21600_to_25200;0;170.22;66;0;1188284582#2;22;22;85.11;62;41.82;1212.43;60030.66;0.08;0.01;59651.09;1143.51;57642.49
21600.00;25200.00;21600_to_25200;84;1.87;0;84;1196782590#0;3;3;0.93;0;0.46;14.65;1222.38;12.75;0.92;88.49;14.27;0.00
21600.00;25200.00;21600_to_25200;3;0.22;2;3;1198625656;0;0;0.22;2;0.10;10.15;48.06;6.51;0.78;8.43;9.40;0.00
21600.00;25200.00;21600_to_25200;2;3.37;2;83;1198625658;0;0;3.37;85;1.63;20.55;1762.20;7.30;0.88;174.44;19.83;0.00
21600.00;25200.00;21600_to_25200;0;40.92;4;75;1238600634#0;0;0;40.92;79;1.97;0.99;78.08;5.57;0.67;25.55;0.11;0.00
21600.00;25200.00;21600_to_25200;2;2.09;6;18;13430690#0;0;0;2.09;22;0.97;13.40;311.77;3.47;0.62;114.30;12.22;50.00
21600.00;25200.00;21600_to_25200;1;4.40;0;195;13548014;0;0;4.40;195;2.15;16.54;3237.12;12.64;0.91;243.88;16.15;0.00
21600.00;25200.00;21600_to_25200;7;1.07;3;24;136174723;0;0;1.07;20;0.51;16.33;436.86;7.27;0.87;47.33;15.62;0.00
21600.00;25200.00;21600_to_25200;0;1.88;82;0;13654453;1;1;0.94;80;0.47;39.50;3194.82;12.07;0.87;396.37;39.12;0.00
21600.00;25200.00;21600_to_25200;6;2.35;2;58;137238867#0;0;0;2.35;54;1.14;26.82;1605.72;7.26;0.87;260.58;25.85;53.00
21600.00;25200.00;21600_to_25200;3;16.45;2;229;137238867#2;0;0;16.45;228;6.92;4.59;1057.70;4.98;0.60;468.06;3.78;165.00
21600.00;25200.00;21600_to_25200;4;2.99;2;68;13853655#0;0;0;2.99;66;1.37;8.99;627.47;7.04;0.85;96.62;8.23;1.00
21600.00;25200.00;21600_to_25200;4;4.56;2;90;13853655#1;0;0;4.56;88;1.78;3.15;287.86;7.15;0.86;34.75;2.44;0.00
21600.00;25200.00;21600_to_25200;3;2.55;7;58;13853655#2;0;0;2.55;62;1.21;13.18;851.42;7.40;0.89;90.29;12.47;0.00
21600.00;25200.00;21600_to_25200;3;5.15;1;74;13853658;0;0;5.15;73;2.32;10.45;783.07;4.53;0.81;148.19;9.32;21.00
21600.00;25200.00;21600_to_25200;0;6.35;1;97;13853659#0;0;0;6.35;96;2.99;17.10;1649.56;4.51;0.81;292.49;16.08;16.00
21600.00;25200.00;21600_to_25200;2;0.50;3;9;13853661#0;0;0;0.50;10;0.24;18.74;222.21;6.87;0.83;30.06;17.89;1.00
21600.00;25200.00;21600_to_25200;2;10.18;1;91;13853661#1;0;0;10.18;90;4.73;12.57;1154.13;2.90;0.35;731.78;11.37;472.00
21600.00;25200.00;21600_to_25200;3;0.29;1;6;13853663;0;0;0.29;4;0.14;21.74;150.96;6.88;0.83;15.57;20.84;0.00
21600.00;25200.00;21600_to_25200;2;133.33;3;147;14108346;0;0;133.33;148;5.54;1.91;283.20;2.72;0.20;227.17;1.02;138.64
